 S0355 , Final1stspy 
 S0182 , FinFisher 
 S0618 , FIVEHANDS 
 S0696 , Flagpro 
 S0143 , Flame 
 S0036 , FLASHFLOOD 
 S0381 , FlawedAmmyy 
 S0383 , FlawedGrace 
 S0408 , FlexiSpy 
 S0173 , FLIPSIDE 
 S1103 , FlixOnline 
 S1067 , FluBot 
 S1093 , FlyTrap 
 S0661 , FoggyWeb 
 S0193 , Forfiles 
 S1120 , FRAMESTING 
 S0503 , FrameworkPOS 
 S0577 , FrozenCell 
 S0277 , FruitFly 
 S0095 , ftp 
 S1044 , FunnyDream 
 S0628 , FYAnti 
 S0410 , Fysbis 
 S0168 , Gazer 
 S0666 , Gelsemium 
 S0049 , GeminiDuke 
 S0460 , Get2 
 S0032 , gh0st RAT 
 S0423 , Ginp 
 S1117 , GLASSTOKEN 
 S0026 , GLOOXMAIL 
 S0249 , Gold Dragon 
 S0535 , Golden Cup 
 S0551 , GoldenEagle 
 S0493 , GoldenSpy 
 S0597 , GoldFinder 
 S0588 , GoldMax 
 S0421 , GolfSpy 
 S0290 , Gooligan 
 S0477 , Goopy 
 S0536 , GPlayed 
 S0531 , Grandoreiro 
 S0237 , GravityRAT 
 S0690 , Green Lambert 
 S0342 , GreyEnergy 
 S0417 , GRIFFON 
 S0632 , GrimAgent 
 S0008 , gsecdump 
 S0561 , GuLoader 
 S0406 , Gustuff 
 S0132 , H1N1 
 S0047 , Hacking Team UEFI Rootkit 
 S0151 , HALFBAKED 
 S0037 , HAMMERTOSS 
 S0499 , Hancitor 
 S0214 , HAPPYWORK 
 S0246 , HARDRAIN 
 S0224 , Havij 
 S0391 , HAWKBALL 
 S0071 , hcdLoader 
 S0061 , HDoor 
 S0617 , HELLOKITTY 
 S0170 , Helminth 
 S0544 , HenBox 
 S0697 , HermeticWiper 
 S0698 , HermeticWizard 
 S1027 , Heyoka Backdoor 
 S0087 , Hi-Zor 
 S0394 , HiddenWasp 
 S0135 , HIDEDRV 
 S0009 , Hikit 
 S1128 , HilalRAT 
 S0601 , Hildegard 
 S0232 , HOMEFRY 
 S0376 , HOPLIGHT 
 S1077 , Hornbill 
 S0431 , HotCroissant 
 S0040 , HTRAN 
 S0070 , HTTPBrowser 
 S0068 , httpclient 
 S1097 , HUI Loader 
 S0322 , HummingBad 
 S0321 , HummingWhale 
 S0203 , Hydraq 
 S0398 , HyperBro 
 S0537 , HyperStack 
 S1022 , IceApple 
 S0483 , IcedID 
 S0101 , ifconfig 
 S0278 , iKitten 
 S0434 , Imminent Monitor 
 S0357 , Impacket 
 S1045 , INCONTROLLER 
 S0604 , Industroyer 
 S1072 , Industroyer2 
 S0259 , InnaputRAT 
 S0463 , INSOMNIA 
 S0260 , InvisiMole 
 S0231 , Invoke-PSImage 
 S0100 , ipconfig 
 S0581 , IronNetInjector 
 S0189 , ISMInjector 
 S0015 , Ixeshe 
 S0163 , Janicab 
 S0528 , Javali 
 S0389 , JCry 
 S0044 , JHUHUGIT 
 S0201 , JPIN 
 S0283 , jRAT 
 S0648 , JSS Loader 
 S0325 , Judy 
 S0215 , KARAE 
 S0088 , Kasidet 
 S0265 , Kazuar 
 S0585 , Kerrdown 
 S0487 , Kessel 
 S1020 , Kevin 
 S0387 , KeyBoy 
 S0276 , Keydnap 
 S0271 , KEYMARBLE 
 S1051 , KEYPLUG 
 S0288 , KeyRaider 
 S0526 , KGH_SPY 
 S0607 , KillDisk 
 S0599 , Kinsing 
 S0437 , Kivars 
 S0250 , Koadic 
 S0641 , Kobalos 
 S0669 , KOCTOPUS 
 S0162 , Komplex 
 S0156 , KOMPROGO 
 S0356 , KONNI 
 S1075 , KOPILUWAK 
 S0236 , Kwampirs 
 S0349 , LaZagne 
 S0395 , LightNeuron 
 S1119 , LIGHTWIRE 
 S0211 , Linfo 
 S0362 , Linux Rabbit 
 S0513 , LiteDuke 
 S0680 , LitePower 
 S1121 , LITTLELAMB.WOOLTEA 
 S0681 , Lizar 
 S0372 , LockerGoga 
 S1101 , LoFiSe 
 S0397 , LoJax 
 S0447 , Lokibot 
 S0582 , LookBack 
 S0451 , LoudMiner 
 S0042 , LOWBALL 
 S0121 , Lslsass 
 S0532 , Lucifer 
 S0010 , Lurid 
 S0409 , Machete 
 S1016 , MacMa 
 S1048 , macOS.OSAMiner 
 S0282 , MacSpy 
 S1060 , Mafalda 
 S0413 , MailSniper 
 S0485 , Mandrake 
 S0317 , Marcher 
 S0652 , MarkiRAT 
 S0167 , Matryoshka 
 S0303 , MazarBOT 
 S0449 , Maze 
 S0500 , MCMD 
 S0459 , MechaFlounder 
 S0175 , meek 
 S0576 , MegaCortex 
 S0530 , Melcoz 
 S0443 , MESSAGETAP 
 S1059 , metaMain 
 S0455 , Metamorfo 
 S0688 , Meteor 
 S0339 , Micropsia 
 S1015 , Milan 
 S0002 , Mimikatz 
 S0179 , MimiPenguin 
 S0133 , Miner-C 
 S0051 , MiniDuke 
 S0280 , MirageFox 
 S0084 , Mis-Type 
 S0083 , Misdat 
 S1122 , Mispadu 
 S0080 , Mivast 
 S0079 , MobileOrder 
 S0553 , MoleNet 
 S1026 , Mongall 
 S0407 , Monokle 
 S0149 , MoonWind 
 S0284 , More_eggs 
 S1047 , Mori 
 S0256 , Mosquito 
 S0233 , MURKYTOP 
 S0699 , Mythic 
 S0205 , Naid 
 S0228 , NanHaiShu 
 S0336 , NanoCore 
 S0637 , NativeZone 
 S0247 , NavRAT 
 S0590 , NBTscan 
 S0102 , nbtstat 
 S0272 , NDiskMonitor 
 S0630 , Nebulae 
 S0691 , Neoichor 
 S0210 , Nerex 
 S0039 , Net 
 S0056 , Net Crawler 
 S0034 , NETEAGLE 
 S0108 , netsh 
 S0104 , netstat 
 S0033 , NetTraveler 
 S0457 , Netwalker 
 S0198 , NETWIRE 
 S1106 , NGLite 
 S0508 , ngrok 
 S0118 , Nidiran 
 S1090 , NightClub 
 S1100 , Ninja 
 S0385 , njRAT 
 S1107 , NKAbuse 
 S0359 , Nltest 
 S0353 , NOKKI 
 S0299 , NotCompatible 
 S0368 , NotPetya 
 S0286 , OBAD 
 S0644 , ObliqueRAT 
 S0346 , OceanSalt 
 S0340 , Octopus 
 S0439 , Okrum 
 S0138 , OLDBAIT 
 S0285 , OldBoot 
 S0365 , Olympic Destroyer 
 S0052 , OnionDuke 
 S0264 , OopsIE 
 S0229 , Orz 
 S0165 , OSInfo 
 S0402 , OSX/Shlayer 
 S0352 , OSX_OCEANLOTUS.D 
 S0594 , Out1 
 S1017 , OutSteel 
 S0072 , OwaAuth 
 S0598 , P.A.S. Webshell 
 S0016 , P2P ZeuS 
 S0626 , P8RAT 
 S1109 , PACEMAKER 
 S1091 , Pacu 
 S0399 , Pallas 
 S0664 , Pandora 
 S0208 , Pasam 
 S0122 , Pass-The-Hash Toolkit 
 S0556 , Pay2Key 
 S1102 , Pcexter 
 S1050 , PcShare 
 S0316 , Pegasus for Android 
 S0289 , Pegasus for iOS 
 S0683 , Peirates 
 S0587 , Penquin 
 S0643 , Peppy 
 S1126 , Phenakite 
 S0158 , PHOREAL 
 S0517 , Pillowmint 
 S0048 , PinchDuke 
 S0097 , Ping 
 S1031 , PingPull 
 S0501 , PipeMon 
